"";"gotuheiti";"postnr";"tegund";"verd";"herbergi";"size";"fermverd"
"193";"Kjalarsíða  ";603;"Fjölbýli";22500000;4;102,2;220157
"194";"Sunnuhlíð";603;"Atvinnuhús";9600000;1;88;109091
"195";"Garðatorg";210;"Fjölbýli";46500000;3;100,3;463609
"196";"Kötlufell";111;"Fjölbýli";21300000;2;62,6;340256
"197";"Tunguvegur";260;"Fjölbýli";29700000;6;182,5;162740
"198";"Lómasalir";203;"Par/Raðhús";69000000;6;224,3;307624
"199";"Garðatorg";210;"Fjölbýli";49900000;3;102,9;484937
"200";"Garðatorg";210;"Fjölbýli";145000000;4;187,1;774987
"201";"Álftamýri";108;"Fjölbýli";34900000;4;123,9;281679
"202";"Flúðasel";109;"Fjölbýli";29900000;3;134,3;222636
"203";"Stigahlíð";105;"Fjölbýli";30900000;3;83;372289
"204";"Furugrund";200;"Fjölbýli";34800000;4;96,1;362123
"205";"Hörpulundur*opið Hús*";210;"Einbýli";74900000;5;200,7;373194
"206";"Hamar lóð";621;"Sumarhús";23500000;4;76,7;306389
"207";"Hraunbær Opið Hús";110;"Fjölbýli";21900000;2;69,7;314204
"208";"Suðurgata";230;"Fjölbýli";9000000;3;111,5;80717
"209";"Klettás";260;"Par/Raðhús";32500000;4;181,5;179063
"210";"Borgarvegur";260;"Fjölbýli";19900000;7;154,7;128636
"211";"Hringbraut";230;"Fjölbýli";9500000;3;93,7;101387
"212";"Smáratún";230;"Fjölbýli";21000000;4;137,5;152727
"213";"Mávatjörn";260;"Par/Raðhús";33500000;5;175,4;190992
"214";"Grímsholt";250;"Par/Raðhús";20900000;4;146,6;142565
"215";"Ártún";250;"Par/Raðhús";17500000;4;101;173267
"216";"Grímsholt";250;"Par/Raðhús";17500000;4;146,6;119372
"217";"Heiðarholt";250;"Par/Raðhús";26000000;5;158,8;163728
